"Column","Type","Size","Nulls","Auto","Default","Children","Parents","Comments"
"dpe_mix_arrete_nb_classe_bilan_dpe_g","int4","10","√","","null","","","(dpe) Nombre de DPE avec une étiquette bilan DPE (double seuil énergie/ges) de classe G"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_a","int4","10","√","","null","","","(dpe) Nombre de DPE de la classe énergétique A. valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_b","int4","10","√","","null","","","(dpe) Nombre de DPE de la classe énergétique B. valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_c","int4","10","√","","null","","","(dpe) Nombre de DPE de la classe énergétique C. valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_d","int4","10","√","","null","","","(dpe) Nombre de DPE de la classe énergétique D. valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_e","int4","10","√","","null","","","(dpe) Nombre de DPE de la classe énergétique E. valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_f","int4","10","√","","null","","","(dpe) Nombre de DPE de la classe énergétique F. valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_g","int4","10","√","","null","","","(dpe) Nombre de DPE de la classe énergétique G. valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dpe_mix_arrete_nb_classe_conso_energie_arrete_2012_nc","int4","10","√","","null","","","(dpe) Nombre de DPE n’ayant pas fait l’objet d’un calcul d’étiquette énergie (DPE dits vierges). valable uniquement pour les DPE appliquant la méthode de l’arrêté du 8 février 2012"
"dv3f_valeur_fonciere_min","numeric","10,2","√","","null","","","(dv3f) valeur foncière minimale parmi les locaux du bâtiment rapporté au m² habitable (SHAB) €/m²"
"dv3f_valeur_fonciere_max","numeric","10,2","√","","null","","","(dv3f) valeur foncière maximale parmi les locaux du bâtiment rapporté au m² habitable (SHAB)€/m²"
"dv3f_valeur_fonciere_med","numeric","10,2","√","","null","","","(dv3f) médiane des valeurs foncières  rapporté au m² habitable (SHAB) €/m²"
"dv3f_valeur_fonciere_mean","numeric","10,2","√","","null","","","(dv3f) valeur foncière moyenne des locaux du bâtiment rapporté au m² habitable (SHAB) €/m²"
"dv3f_valeur_fonciere_mean_t1","numeric","10,2","√","","null","","","(dv3f) valeur foncière moyenne des locaux du bâtiment rapporté au m² habitable (SHAB) €/m²"
"dv3f_valeur_fonciere_mean_t2","numeric","10,2","√","","null","","","(dv3f) valeur foncière moyenne des locaux du bâtiment rapporté au m² habitable (SHAB) €/m²"
"dv3f_valeur_fonciere_mean_t3","numeric","10,2","√","","null","","","(dv3f) valeur foncière moyenne des locaux du bâtiment rapporté au m² habitable (SHAB) €/m²"
"dv3f_valeur_fonciere_mean_t4sup","numeric","10,2","√","","null","","","(dv3f) valeur foncière moyenne des locaux du bâtiment rapporté au m² habitable (SHAB) €/m²"
"dv3f_nb_mutation_annee","int4","10","√","","null","","","nombre moyen de mutations par an dans le bâtiment"
"dv3f_nb_loc","int4","10","√","","null","","","(ffo) Nombre de locaux nlocal"
"dv3f_nb_log","int4","10","√","","null","","","nombre de logements du local concerné par la transaction immobilière"
"dv3f_nb_log_soc","int4","10","√","","null","","","(ffo) Nombre de locaux de type logement sociaux, (utilisation des attributs loc.logh = ‘t’ AND loc.hlmsem = (‘5’,‘6’))"
"dv3f_id_locmut","text","2147483647","√","","null","","","identifiant du couple (local, mutation) pour la transaction immobilière"
"dv3f_local_id","text","2147483647","√","","null","","","identifiant du local dans les Fichiers Fonciers (Concaténation de ccodep, invar)"
"dv3f_id_mutation","text","2147483647","√","","null","","","identifiant de la mutation dans les Fichiers Fonciers"
"dv3f_usage_simple","text","2147483647","√","","null","","","(dv3f:dteloc) usage du local (1:résidentiel individuel, 2:résidentiel collectif, 3:dependance, 4:commercial)"
"dv3f_usage_simple_txt","text","2147483647","√","","null","","","(dv3f) usage du local explicite"
"dv3f_usage_detail","text","2147483647","√","","null","","","(dv3f:cconlc) type de local"
"dv3f_usage_detail_txt","text","2147483647","√","","null","","","(dv3f) type de local explicite"
"dv3f_code_naf","varchar","5","√","","null","","","code de l’activité principale selon la nomenclature NAF du local concerné par la transaction immobilière"
"dv3f_code_naf_txt","text","2147483647","√","","null","","","activité principale selon la nomenclature NAF du local concerné par la transaction immobilière"
"dv3f_bureau","bool","1","√","","null","","","vaut True si le local du local concerné par la transaction immobilière est un bureau"
"dv3f_habitation","bool","1","√","","null","","","vaut True si du local concerné par la transaction immobilière est une habitation pour la transaction immobilière"
